***************************************************************************************************
*** 
*** Logging Stuff
*** 
***************************************************************************************************
*** 
*** Module Name          : FrontEndDriver
*** Project Name         : cchome1
*** Version              : 1.0.0
*** Configured Timezone  : UTC
*** 
***************************************************************************************************
*** 
*** Log Number           : #1
*** Process Start Time   : 2/27/2020, 4:28:19 PM
*** Log Start Time       : 2/27/2020, 4:28:19 PM
*** Log Level            : 0
*** Continuing From      : FrontEndDriver.12012.1582820896994.log
*** 
***************************************************************************************************
*** 
*** Hostname             : EN1210049
*** OS Release           : 10.0.17763
*** Platform             : win32
*** NodeJS Version       : 12.13.1
*** OpenSSL Version      : 1.1.1d
*** 
***************************************************************************************************
*** 
*** DEPENDENT NPM PACKAGE DETAILS
*** 
*** cchome1@1.0.0 D:\dgligaPC\projects\nodejsproj\cchome1
*** +-- babel-install@2.1.0
*** +-- express@4.17.1
*** +-- express-async-await@1.1.0
*** +-- express-handlebars@3.1.0
*** +-- fs@0.0.1-security
*** +-- line-reader@0.4.0
*** +-- mustache@4.0.0
*** +-- mustache-express@1.3.0
*** +-- node-fetch@2.6.0
*** +-- nodemon@2.0.2
*** +-- open@7.0.2
*** +-- path@0.12.7
*** +-- perfect-logger@2.0.1
*** `-- terminal-link@2.1.1
*** 
*** 
***************************************************************************************************
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:877
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:416
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/to
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:367
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/the
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:373
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:237
2020/02/27 | 16:39:09 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:839
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:262
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:1108
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:09 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:832
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:842
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/and
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:166
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/se
2020/02/27 | 16:39:09 | INFO | Fetch successfully with status :200, statusText:OK wit time:345
2020/02/27 | 16:39:09 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/Ca
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:214
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:546
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:352
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:225
2020/02/27 | 16:39:10 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:238
2020/02/27 | 16:39:10 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:10 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:554
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:345
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/not
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :404, statusText:Not Found wit time:217
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:541
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:569
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:10 | INFO | Fetch successfully with status :200, statusText:OK wit time:632
2020/02/27 | 16:39:10 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:350
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/man
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:349
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/Do
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:212
2020/02/27 | 16:39:11 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:387
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/wo
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:225
2020/02/27 | 16:39:11 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :404, statusText:Not Found wit time:219
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:541
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:3604
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:11 | INFO | Fetch successfully with status :200, statusText:OK wit time:543
2020/02/27 | 16:39:11 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:12 | INFO | Fetch successfully with status :200, statusText:OK wit time:231
2020/02/27 | 16:39:12 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/has
2020/02/27 | 16:39:12 | INFO | Fetch successfully with status :200, statusText:OK wit time:180
2020/02/27 | 16:39:12 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/do
2020/02/27 | 16:39:12 | INFO | Fetch successfully with status :200, statusText:OK wit time:341
2020/02/27 | 16:39:12 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/ka
2020/02/27 | 16:39:12 | INFO | Fetch successfully with status :200, statusText:OK wit time:263
2020/02/27 | 16:39:12 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:12 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:12 | INFO | Fetch successfully with status :200, statusText:OK wit time:279
2020/02/27 | 16:39:12 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:12 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:12 | INFO | Fetch successfully with status :200, statusText:OK wit time:218
2020/02/27 | 16:39:12 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:12 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:12 | INFO | Fetch successfully with status :200, statusText:OK wit time:566
2020/02/27 | 16:39:12 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:13 | INFO | Fetch successfully with status :200, statusText:OK wit time:581
2020/02/27 | 16:39:13 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:13 | INFO | Fetch successfully with status :200, statusText:OK wit time:567
2020/02/27 | 16:39:13 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:13 | INFO | Fetch successfully with status :200, statusText:OK wit time:199
2020/02/27 | 16:39:13 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/the
2020/02/27 | 16:39:13 | INFO | Fetch successfully with status :200, statusText:OK wit time:1065
2020/02/27 | 16:39:13 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/st
2020/02/27 | 16:39:14 | INFO | Fetch successfully with status :200, statusText:OK wit time:214
2020/02/27 | 16:39:14 | INFO | [GET] ON :/ex1
2020/02/27 | 16:39:14 | INFO | Try to fetch:https://free-nba.p.rapidapi.com/teams?page=0
2020/02/27 | 16:39:14 | INFO | Fetch successfully with status :200, statusText:OK wit time:541
2020/02/27 | 16:39:14 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:15 | INFO | Fetch successfully with status :200, statusText:OK wit time:610
2020/02/27 | 16:39:16 | INFO | Fetch successfully with status :200, statusText:OK wit time:3320
2020/02/27 | 16:39:16 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/of
2020/02/27 | 16:39:16 | INFO | Fetch successfully with status :200, statusText:OK wit time:7644
2020/02/27 | 16:39:16 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/27 | 16:39:16 | INFO | Fetch successfully with status :200, statusText:OK wit time:3240
2020/02/27 | 16:39:16 | INFO | Fetch successfully with status :200, statusText:OK wit time:236
