***************************************************************************************************
*** 
*** This is a custom banner
*** 
***************************************************************************************************
*** 
*** Module Name          : FrontEndDriver
*** Project Name         : cchome1
*** Version              : 1.0.0
*** Configured Timezone  : UTC
*** 
***************************************************************************************************
*** 
*** Log Number           : #1
*** Process Start Time   : 2/26/2020, 12:56:06 PM
*** Log Start Time       : 2/26/2020, 12:56:06 PM
*** Log Level            : 0
*** Continuing From      : FrontEndDriver.2848.1582666140412.log
*** 
***************************************************************************************************
*** 
*** Hostname             : EN1210049
*** OS Release           : 10.0.17763
*** Platform             : win32
*** NodeJS Version       : 12.13.1
*** OpenSSL Version      : 1.1.1d
*** 
***************************************************************************************************
*** 
*** DEPENDENT NPM PACKAGE DETAILS
*** 
*** cchome1@1.0.0 D:\dgligaPC\projects\nodejsproj\cchome1
*** +-- babel-install@2.1.0
*** +-- express@4.17.1
*** +-- express-async-await@1.1.0
*** +-- express-handlebars@3.1.0
*** +-- mustache@4.0.0
*** +-- mustache-express@1.3.0
*** +-- node-fetch@2.6.0
*** +-- nodemon@2.0.2
*** +-- open@7.0.2
*** +-- path@0.12.7
*** +-- perfect-logger@2.0.1
*** `-- terminal-link@2.1.1
*** 
*** 
***************************************************************************************************
2020/02/26 | 12:59:04 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:04 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:04 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:04 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:04 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:04 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:04 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:04 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:04 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:04 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:04 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:04 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:04 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:04 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:05 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:05 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:05 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:856
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:915
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:759
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:605
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:1156
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:1073
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:728
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:638
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:508
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:330
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:523
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:505
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:05 | INFO | Fetch successfully with status :200, statusText:OK wit time:551
2020/02/26 | 12:59:05 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:1097
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:297
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:271
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:285
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:1149
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:242
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:271
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:244
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:289
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:272
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:292
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:231
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:271
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:293
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:315
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:216
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:06 | INFO | Fetch successfully with status :200, statusText:OK wit time:225
2020/02/26 | 12:59:06 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:06 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:779
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:798
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:839
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:849
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:884
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:841
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:147
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:778
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:818
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:738
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:155
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:149
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:283
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:531
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.chucknorris.io/jokes/random
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:280
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:229
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:259
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:253
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:226
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:265
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:283
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:246
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:243
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:218
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:302
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://restcountries.eu/rest/v2/name/uni
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:234
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:212
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:237
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | [GET] ON :/ex1
2020/02/26 | 12:59:07 | INFO | Try to fetch:https://api.github.com/users
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:448
2020/02/26 | 12:59:07 | INFO | Fetch successfully with status :200, statusText:OK wit time:234
